,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
279,15.1,30.0,26.0,0.38,4.0,0.34,1,33,58,98
280,20.4,42.0,18.0,0.28,7.11,0.0,1,31,62,121
281,17.1,36.0,16.56,0.28,9.0,0.0,1,30,67,131
282,18.9,40.0,14.0,0.35,11.0,0.0,1,28,74,139
283,18.0,39.0,15.0,0.3,12.0,0.0,1,28,76,154
284,17.1,37.0,15.0,0.33,9.0,0.0,1,27,80,197
285,19.6,44.0,7.0,0.43,8.0,0.0,0,26,87,249
286,19.1,43.0,9.0,0.33,6.0,0.0,0,26,89,245
287,15.8,36.0,9.0,0.32,5.0,0.0,0,26,89,271
288,20.4,46.0,11.0,0.27,4.0,0.0,0,25,89,244
289,24.1,54.0,10.0,0.23,3.0,0.0,1,25,89,239
290,21.3,48.0,9.0,0.22,2.0,1.0,0,25,90,228
291,16.1,37.0,7.0,0.25,2.0,0.0,0,25,92,234
292,16.6,38.0,6.0,0.3,3.0,0.0,0,24,92,209
293,16.6,38.0,6.0,0.34,6.0,1.0,0,24,92,284
294,18.6,43.0,5.0,0.4,9.0,1.0,0,24,92,204
295,15.0,33.0,4.0,0.56,9.0,1.0,0,24,92,232
296,16.0,33.0,15.0,0.39,9.0,0.0,1,26,84,238
297,25.4,53.0,33.0,0.23,6.0,0.0,2,28,73,223
298,22.9,47.0,38.0,0.22,5.0,0.0,1,29,69,198
299,20.8,43.0,40.0,0.25,6.0,1.0,1,30,63,147
300,21.4,43.0,40.0,0.22,6.0,1.0,2,31,61,151
301,17.0,34.0,41.0,0.2,4.0,1.0,1,32,55,130
302,15.3,29.0,37.0,0.38,7.0,0.34,2,32,56,140
303,18.5,37.0,40.0,0.22,7.11,1.0,1,32,54,120
304,15.2,31.0,16.56,0.23,7.0,1.0,1,32,54,127
305,13.0,26.0,33.0,0.27,9.0,1.0,1,30,60,125
306,20.3,44.0,25.0,0.31,14.0,1.0,1,28,66,137
307,25.4,58.0,17.0,0.41,21.0,1.0,0,28,70,145
308,22.2,51.0,9.0,0.56,19.0,1.0,0,26,81,214
309,25.8,59.0,7.0,0.62,15.0,0.0,0,25,84,236
310,26.1,60.0,2.0,0.67,12.0,0.0,0,24,89,248
311,29.4,67.0,4.0,0.72,10.0,0.0,0,24,89,269
312,32.2,73.0,6.0,0.61,8.0,0.0,0,24,90,259
313,28.0,64.0,6.0,0.46,4.0,0.0,0,23,90,229
314,29.5,68.0,6.0,0.29,3.0,0.0,0,23,91,233
315,20.4,47.0,5.0,0.29,3.0,0.0,0,23,92,255
316,18.1,42.0,7.0,0.27,3.0,1.0,0,23,91,274
317,20.0,46.0,4.0,0.32,4.0,0.0,0,23,92,234
318,19.7,45.0,2.0,0.38,6.0,1.0,0,23,92,242
319,16.1,37.0,4.0,0.46,7.0,0.0,0,23,91,259
320,14.1,31.0,20.0,0.37,7.0,0.0,0,26,80,276
321,19.1,42.0,37.0,0.26,8.0,0.0,0,29,67,101
322,22.9,47.0,40.0,0.26,5.0,1.0,1,31,61,89
323,21.9,44.0,42.0,0.23,4.0,1.0,2,32,59,91
324,18.3,35.0,47.0,0.23,3.0,1.0,2,32,55,90
325,17.4,33.0,47.0,0.38,4.0,0.34,2,33,52,107
326,17.3,34.0,46.0,0.21,7.11,1.0,1,32,53,112
327,16.2,32.0,16.56,0.22,3.0,1.0,1,32,54,98
328,14.5,28.0,43.0,0.24,5.0,1.0,1,31,57,110
329,17.5,36.0,40.0,0.27,5.0,1.0,1,30,61,103
330,21.5,47.0,32.0,0.33,10.0,1.0,1,28,68,127
331,23.3,53.0,22.0,0.52,17.0,1.0,0,27,74,111
332,19.7,45.0,17.0,0.53,19.0,1.0,0,27,78,133
333,27.2,62.0,9.0,0.5,13.0,1.0,0,25,85,156
334,22.3,51.0,4.0,0.7,11.0,1.0,0,25,89,256
335,26.2,60.0,3.0,0.7,12.0,1.0,0,24,90,299
